celltype,gene,per_exp,avg_exp,scaled_avg_exp
CD4.N,VCAM1,0.000178718232834114,0.000268425217142732,0.000254803771843872
B,SDC1,0.000775623268698061,0.00084163512576177,0.00129701179017372
B,MME,0.00919667590027701,0.010433416598338,0.0229567157623873
B,CD19,0.270249307479224,0.346693153867031,0.975534185594995
B,CD79A,0.846426592797784,1.76079172524654,1
B,MS4A1,0.812963988919668,1.57964411327424,1
B,KIT,0.00232686980609418,0.00285494948144053,0.0149409987105472
B,CD34,0.00476454293628809,0.00614103266925229,0.0134925358396686
B,CLC,0.0043213296398892,0.00512760570193912,0.039715853952048
B,GYPA,0.0274792243767313,0.0316925295789473,0.0188364941805897
B,PPBP,0.00919667590027701,0.0121501844088647,0.00413022156234607
B,ITGA2B,0.00376731301939058,0.00424686459168978,0.00385775129801469
B,CD33,0.00421052631578947,0.00509003552686983,0.0147977992149375
B,MPO,0.0413296398891967,0.0503198730570643,0.0253634892985896
B,CTSG,0.00664819944598338,0.00742999665373985,0.00845349035683837
B,AZU1,0.0118559556786704,0.014351722679225,0.00873467329111285
B,LYZ,0.243102493074792,0.318903757934614,0.0717485559493103
B,S100A8,0.242548476454294,0.328844793513585,0.0838516735651848
B,S100A9,0.247645429362881,0.337792112168396,0.0798315388608822
B,CD14,0.0126315789473684,0.0138293600565094,0.0173153186807818
B,ITGAM,0.0209418282548476,0.0228182938548478,0.0474342819182016
B,FCGR3A,0.0128531855955679,0.0148053229783927,0.00929945345629917
B,FCER1G,0.0681440443213296,0.0781520317695322,0.030738714989253
B,FCER1A,0.00454293628808864,0.00502689849418267,0.0107185706372612
B,CLEC10A,0.00166204986149584,0.00166393604875337,0.00758503616864238
B,IL3RA,0.0119667590027701,0.0145976089196672,0.0158342483457403
B,IRF8,0.383711911357341,0.523418479628811,0.322146004639341
B,CD4,0.00775623268698061,0.00865917293407194,0.0284926617538968
B,IL7R,0.0396675900277008,0.0511010942626045,0.0375839689111293
B,CD3E,0.0573961218836565,0.0707448111113569,0.0507189705355441
B,CCR7,0.250415512465374,0.37381846800887,0.468041796522242
B,CD8A,0.0113019390581717,0.0126380403855956,0.0150756008837373
B,CCL5,0.098393351800554,0.126179784034349,0.0456829985738093
B,GNLY,0.144376731301939,0.187156942089754,0.0557540887672563
B,KLRB1,0.0440997229916898,0.0522188729351775,0.038260646146758
B,NKG7,0.117562326869806,0.149211843785036,0.0492353042421941
B,CXCL12,0.000775623268698061,0.00116748223822718,0.000399527661592111
B,VCAM1,0.000110803324099723,0.000114311889196674,0.000108511043947199
CD4.M,SDC1,0.000858067787355201,0.00111799380982101,0.00172289761714335
CD4.M,MME,0.00167713249346698,0.00174683657474941,0.00384357610490243
CD4.M,CD19,0.00304224033698662,0.00316498511876384,0.00890571719059024
CD4.M,CD79A,0.0250399781582745,0.02643330809275,0.0150121719188844
CD4.M,MS4A1,0.0152502047661765,0.017207599639222,0.0108933395152878
CD4.M,KIT,0.00503139748040095,0.00622330594719047,0.0325688446456842
CD4.M,CD34,0.00495339131791411,0.00600437277155956,0.0131922787547817
CD4.M,CLC,0.00409532353055891,0.00475768532119021,0.0368506367981327
CD4.M,GYPA,0.0294083232575373,0.0311362692351437,0.0185058801567754
CD4.M,PPBP,0.00752759467997972,0.00859465686922345,0.00292158834201179
CD4.M,ITGA2B,0.00269121260579586,0.00276528493661983,0.00251191939919635
CD4.M,CD33,0.0049143882366707,0.00540732223136596,0.0157202181100351
CD4.M,MPO,0.0398611490307734,0.0451547618265154,0.0227600398965315
CD4.M,CTSG,0.00592846834899957,0.00678870008736724,0.00772385418170286
CD4.M,AZU1,0.0175123834782948,0.0225910539045994,0.0137492536310108
CD4.M,LYZ,0.223799680174734,0.277077940673981,0.0623383752437401
CD4.M,S100A8,0.199812785210032,0.246842336442503,0.0629419818276343
CD4.M,S100A9,0.229104099223839,0.285598194449487,0.067496375840256
CD4.M,CD14,0.0123639767541636,0.0130516593763402,0.0163415834493348
CD4.M,ITGAM,0.0150551893599594,0.0169655317434378,0.0352676593933625
CD4.M,FCGR3A,0.0118959397792426,0.0129625864944038,0.00814200203223444
CD4.M,FCER1G,0.0682553921759819,0.0756335661133311,0.0297481534355307
CD4.M,FCER1A,0.00694254846132844,0.00744948386169517,0.0158841120573889
CD4.M,CLEC10A,0.0017161355747104,0.00175269784429985,0.00798965594361398
CD4.M,IL3RA,0.0066305238113811,0.00834991538515672,0.00905728017527297
CD4.M,IRF8,0.0129100198915714,0.0152364072159597,0.00937748264669652
CD4.M,CD4,0.151097936737002,0.168462789279618,0.554320061466309
CD4.M,IL7R,0.705253715043488,1.35965135516788,1
CD4.M,CD3E,0.714692460704396,1.1566957737166,0.829268153297857
CD4.M,CCR7,0.209524552439643,0.27555665562385,0.345012467759585
CD4.M,CD8A,0.0532002028160225,0.0675600656359455,0.0805907050564161
CD4.M,CCL5,0.232341354967042,0.413134451093263,0.149574043770334
CD4.M,GNLY,0.169546394165139,0.239179309668857,0.0712515619974891
CD4.M,KLRB1,0.348570537072429,0.657008576669518,0.481388648478537
CD4.M,NKG7,0.149420804243535,0.190897093500137,0.0629901503728515
CD4.M,CXCL12,0.00109208627481571,0.00115944724911269,0.000396777983432809
CD4.M,VCAM1,0.000234018487460509,0.000270289038183991,0.000256573011844532
MEP,SDC1,0.00670302204044535,0.00296170180436233,0.00456416568374554
MEP,MME,0.00391956373551466,0.00286768865655527,0.00630979437685337
MEP,CD19,0.00420359009316065,0.00285609256873434,0.00803654732418737
MEP,CD79A,0.0311860940695297,0.0151381870560099,0.00859737516876981
MEP,MS4A1,0.00312428993410589,0.00257796869972746,0.00163199335727838
MEP,KIT,0.183992274483072,0.134843353693707,0.705684771923517
MEP,CD34,0.214269484208135,0.160519938100658,0.352680263149978
MEP,CLC,0.0470347648261759,0.129107275601579,1
MEP,GYPA,0.00931606453078846,0.00406036954726257,0.00241328566587065
MEP,PPBP,0.0151102022267666,0.00846357302772134,0.00287702891061319
MEP,ITGA2B,0.18768461713247,0.138631886071076,0.125929924745758
MEP,CD33,0.183821858668484,0.120113288603495,0.349194483696149
MEP,MPO,0.177459668257214,0.202699444440748,0.102169677257983
MEP,CTSG,0.116791638264031,0.0868928262659597,0.0988624494935662
MEP,AZU1,0.239093387866394,0.24631795864325,0.149912797409128
MEP,LYZ,0.273119745512384,0.213448524050159,0.0480227121476898
MEP,S100A8,0.0579981822313111,0.0489108000141473,0.0124716964279043
MEP,S100A9,0.0699840945239718,0.0598976070750989,0.014155801673977
